Order Date,Product Name,Category,Region,Quantity,Sales,Profit,Country,City,State,Region
2/7/2023,Headphones,Accessories,South,4,3252,713.46,United States,Philadelphia,Pennsylvania,East
5/4/2023,Headphones,Accessories,North,3,2739,202.81,United States,Newark,Ohio,East
4/18/2023,Tablet,Electronics,South,7,2709,702.79,United States,Franklin,Wisconsin,Central
12/12/2022,Printer,Office,West,3,936,201.24,United States,Seattle,Washington,West
9/11/2022,Camera,Electronics,West,4,3720,410.92,United States,San Antonio,Texas,Central
3/26/2024,Mouse,Accessories,West,5,5320,716.91,United States,Los Angeles,California,West
9/20/2023,Headphones,Accessories,East,4,804,121.51,United States,Newark,Ohio,East
5/25/2023,Laptop,Electronics,North,8,1224,246.77,United States,New York City,New York,East
12/4/2022,Headphones,Accessories,South,9,8667,781.78,United States,New York City,New York,East
6/10/2022,Monitor,Accessories,West,3,3018,320.11,United States,Denver,Colorado,West
2/5/2023,Laptop,Electronics,West,5,4325,1023.39,United States,Franklin,Tennessee,South
1/20/2024,Laptop,Electronics,South,3,1557,181.08,United States,Medina,Ohio,East
1/27/2022,Monitor,Accessories,South,6,3672,1002.5,United States,Dublin,Ohio,East
3/29/2023,Mouse,Accessories,West,1,333,72.34,United States,Detroit,Michigan,Central
1/17/2022,Headphones,Accessories,West,4,2384,577.26,United States,Columbia,Tennessee,South
11/26/2024,Mouse,Accessories,West,6,888,210.39,United States,Columbia,Tennessee,South
9/19/2024,Laptop,Electronics,West,5,3280,954.17,United States,Tampa,Florida,South
7/20/2023,Mouse,Accessories,South,7,1239,177.39,United States,Tampa,Florida,South
5/3/2024,Headphones,Accessories,East,8,5880,436.85,United States,Tampa,Florida,South
9/3/2022,Smartphone,Electronics,West,2,1668,437.3,United States,Chicago,Illinois,Central
7/9/2024,Printer,Office,West,7,4109,1037.64,United States,Chicago,Illinois,Central
11/17/2022,Smartwatch,Electronics,West,7,595,148.5,United States,Chicago,Illinois,Central
12/28/2023,Headphones,Accessories,East,7,8155,1587.91,United States,Chicago,Illinois,Central
5/30/2022,Monitor,Accessories,South,3,1872,553.1,United States,Lakeville,Minnesota,Central
4/17/2024,Smartwatch,Electronics,East,6,2124,126.03,United States,San Francisco,California,West
9/30/2024,Monitor,Accessories,West,5,5210,1338.8,United States,Chicago,Illinois,Central
6/2/2024,Mouse,Accessories,South,7,5761,362.48,United States,San Francisco,California,West
9/26/2022,Headphones,Accessories,South,7,6895,1596.35,United States,Los Angeles,California,West
12/17/2024,Smartwatch,Electronics,East,3,2118,317.08,United States,Columbus,Ohio,East
10/9/2024,Smartwatch,Electronics,North,5,830,58.28,United States,Colorado Springs,Colorado,West
7/14/2023,Smartwatch,Electronics,North,1,851,93.56,United States,Colorado Springs,Colorado,West
12/5/2023,Tablet,Electronics,East,5,4730,1365.63,United States,Colorado Springs,Colorado,West
6/3/2022,Mouse,Accessories,West,6,5460,845.75,United States,Belleville,New Jersey,East
12/28/2024,Headphones,Accessories,East,5,5795,310.6,United States,Chicago,Illinois,Central
8/6/2022,Laptop,Electronics,South,4,2008,338.44,United States,New York City,New York,East
6/6/2023,Mouse,Accessories,South,7,2842,425.24,United States,Arvada,Colorado,West
2/1/2024,Mouse,Accessories,East,4,3404,392.22,United States,Arvada,Colorado,West
5/31/2023,Smartwatch,Electronics,West,1,1065,228.63,United States,Arvada,Colorado,West
6/14/2024,Tablet,Electronics,West,7,2149,121.69,United States,Hackensack,New Jersey,East
8/14/2024,Keyboard,Accessories,East,8,5912,1143.04,United States,New York City,New York,East
2/1/2023,Mouse,Accessories,West,3,3348,331.28,United States,Murfreesboro,Tennessee,South
4/28/2024,Smartphone,Electronics,South,3,2409,531.79,United States,Philadelphia,Pennsylvania,East
4/5/2024,Tablet,Electronics,North,2,328,39.51,United States,San Francisco,California,West
1/31/2024,Smartphone,Electronics,West,8,6224,1561.42,United States,New York City,New York,East
1/9/2024,Smartwatch,Electronics,North,5,2530,486.09,United States,New York City,New York,East
4/6/2022,Headphones,Accessories,West,4,4108,462.17,United States,New York City,New York,East
5/22/2024,Printer,Office,South,5,1640,391.36,United States,Manchester,Connecticut,East
12/30/2023,Laptop,Electronics,South,1,111,19.33,United States,Franklin,Massachusetts,East
3/17/2022,Headphones,Accessories,North,1,445,128.89,United States,Pembroke Pines,Florida,South
5/24/2022,Printer,Office,North,4,3600,623.72,United States,Philadelphia,Pennsylvania,East
6/9/2024,Mouse,Accessories,North,3,1335,176.44,United States,Houston,Texas,Central
12/1/2024,Keyboard,Accessories,South,5,3090,242.15,United States,San Francisco,California,West
10/20/2023,Printer,Office,East,5,3910,538.52,United States,San Francisco,California,West
3/5/2024,Camera,Electronics,South,1,219,32.67,United States,San Francisco,California,West
12/5/2022,Smartphone,Electronics,West,5,390,27.77,United States,Seattle,Washington,West
8/5/2022,Laptop,Electronics,North,6,3294,359.61,United States,Los Angeles,California,West
3/21/2023,Keyboard,Accessories,West,4,4572,1038.05,United States,Lawrence,Massachusetts,East
2/8/2022,Monitor,Accessories,South,7,980,109.94,United States,Jackson,Mississippi,South
4/1/2023,Headphones,Accessories,North,2,2262,532.12,United States,Canton,Michigan,Central
12/14/2022,Camera,Electronics,South,7,7518,1655.91,United States,New York City,New York,East
5/14/2022,Camera,Electronics,South,1,873,158.97,United States,Detroit,Michigan,Central
2/16/2022,Mouse,Accessories,North,6,1512,423.03,United States,Detroit,Michigan,Central
8/28/2024,Laptop,Electronics,West,1,705,165.16,United States,Columbus,Indiana,Central
10/30/2023,Smartwatch,Electronics,North,8,3256,533.7,United States,Akron,Ohio,East
6/24/2023,Tablet,Electronics,West,4,556,81.77,United States,Concord,California,West
5/17/2023,Mouse,Accessories,East,9,7101,2105.82,United States,Decatur,Illinois,Central
4/6/2023,Laptop,Electronics,West,9,8802,1344.96,United States,Phoenix,Arizona,West
3/26/2023,Headphones,Accessories,South,6,5592,1294.16,United States,Phoenix,Arizona,West
10/12/2024,Tablet,Electronics,North,2,1852,168.92,United States,Park Ridge,Illinois,Central
6/26/2022,Monitor,Accessories,East,1,195,57.88,United States,Amarillo,Texas,Central
4/15/2022,Mouse,Accessories,East,9,7884,2054.02,United States,San Francisco,California,West
12/10/2023,Laptop,Electronics,East,5,4360,1160.55,United States,Troy,New York,East
9/23/2024,Mouse,Accessories,North,6,4920,929.18,United States,Los Angeles,California,West
1/1/2022,Mouse,Accessories,East,3,3474,565,United States,Memphis,Tennessee,South
2/3/2022,Keyboard,Accessories,West,1,930,222.5,United States,Costa Mesa,California,West
3/14/2023,Tablet,Electronics,South,7,1421,248.02,United States,Costa Mesa,California,West
8/24/2022,Headphones,Accessories,North,2,634,161.1,United States,Costa Mesa,California,West
7/7/2024,Camera,Electronics,East,1,673,114.42,United States,Parker,Colorado,West
4/13/2022,Mouse,Accessories,South,5,3135,787.7,United States,Gladstone,Missouri,Central
5/8/2024,Smartphone,Electronics,East,6,882,184.48,United States,Detroit,Michigan,Central
9/10/2024,Smartphone,Electronics,East,4,1192,212.77,United States,Lakeland,Florida,South
6/18/2024,Printer,Office,South,3,390,112.08,United States,Lakeland,Florida,South
9/10/2024,Tablet,Electronics,North,1,834,95.54,United States,Los Angeles,California,West
5/6/2022,Smartphone,Electronics,East,6,612,83.75,United States,Los Angeles,California,West
6/18/2024,Headphones,Accessories,West,9,8073,710.23,United States,Henderson,Kentucky,South
10/29/2023,Keyboard,Accessories,North,8,2640,723.88,United States,Fort Worth,Texas,Central
11/13/2023,Smartphone,Electronics,North,3,3234,440.7,United States,San Francisco,California,West
8/21/2022,Monitor,Accessories,West,5,4435,355.51,United States,Jacksonville,Florida,South
3/4/2024,Smartwatch,Electronics,North,2,2302,305.07,United States,Los Angeles,California,West
4/17/2022,Camera,Electronics,East,6,1728,307.44,United States,San Francisco,California,West
12/20/2023,Laptop,Electronics,East,4,228,54.05,United States,Tampa,Florida,South
3/19/2022,Tablet,Electronics,West,6,3450,705.74,United States,Seattle,Washington,West
7/7/2024,Smartphone,Electronics,South,8,7456,1702.48,United States,Chicago,Illinois,Central
4/30/2023,Smartphone,Electronics,West,6,4728,705.85,United States,Richmond,Kentucky,South
3/22/2024,Smartwatch,Electronics,North,7,945,124.62,United States,San Diego,California,West
3/8/2022,Laptop,Electronics,North,4,296,65.05,United States,Tampa,Florida,South
9/15/2023,Smartphone,Electronics,West,4,640,149.89,United States,New York City,New York,East
3/1/2023,Tablet,Electronics,North,1,797,65.27,United States,New York City,New York,East
10/24/2023,Monitor,Accessories,North,4,1456,431.89,United States,New York City,New York,East
4/22/2024,Monitor,Accessories,South,6,4038,364.11,United States,Dearborn,Michigan,Central
6/27/2023,Tablet,Electronics,West,7,5656,355.81,United States,New York City,New York,East
4/13/2023,Mouse,Accessories,West,4,3876,302.37,United States,Warner Robins,Georgia,South
5/19/2023,Keyboard,Accessories,South,6,1002,114.7,United States,Vallejo,California,West
11/15/2024,Headphones,Accessories,East,9,2187,413.76,United States,Minneapolis,Minnesota,Central
12/25/2023,Mouse,Accessories,North,6,7146,1627.42,United States,Vancouver,Washington,West
3/31/2022,Keyboard,Accessories,South,1,189,14.88,United States,Aurora,Illinois,Central
4/24/2024,Monitor,Accessories,East,5,940,266.02,United States,Arlington,Texas,Central
1/10/2022,Headphones,Accessories,North,1,951,127.58,United States,Cleveland,Ohio,East
11/17/2022,Printer,Office,East,2,124,27.42,United States,Chicago,Illinois,Central
6/29/2024,Mouse,Accessories,West,9,7506,594.28,United States,Chicago,Illinois,Central
11/14/2022,Monitor,Accessories,West,7,8176,2308.76,United States,Tyler,Texas,Central
8/11/2023,Smartphone,Electronics,East,5,2125,632.68,United States,New York City,New York,East
5/22/2024,Headphones,Accessories,North,1,967,59.98,United States,Waynesboro,Virginia,South
3/19/2022,Headphones,Accessories,South,5,270,29.41,United States,Cleveland,Ohio,East
10/23/2022,Keyboard,Accessories,West,9,10035,1486.3,United States,Seattle,Washington,West
2/26/2023,Printer,Office,North,8,6792,1125.23,United States,Long Beach,California,West
10/3/2024,Printer,Office,East,1,714,99.13,United States,New York City,New York,East
7/17/2022,Smartphone,Electronics,South,5,765,157.64,United States,Dover,Delaware,East
11/4/2024,Headphones,Accessories,East,7,4221,358.02,United States,Newark,Ohio,East
2/24/2023,Laptop,Electronics,North,4,2108,576.48,United States,Orem,Utah,West
8/8/2024,Monitor,Accessories,North,9,10530,2387.63,United States,Detroit,Michigan,Central
5/14/2024,Keyboard,Accessories,South,6,3396,914.17,United States,Philadelphia,Pennsylvania,East
1/15/2022,Monitor,Accessories,North,4,1060,213.05,United States,Oceanside,New York,East
5/10/2022,Tablet,Electronics,East,5,480,73.07,United States,Oceanside,New York,East
3/10/2022,Headphones,Accessories,West,3,2529,285.65,United States,Seattle,Washington,West
1/23/2022,Smartwatch,Electronics,East,8,4792,511.97,United States,San Diego,California,West
9/19/2024,Smartwatch,Electronics,East,8,8056,605.8,United States,Trenton,Michigan,Central
6/6/2024,Tablet,Electronics,North,4,4228,947.76,United States,Los Angeles,California,West
10/10/2024,Tablet,Electronics,East,1,653,93.78,United States,Jacksonville,Florida,South
3/24/2024,Tablet,Electronics,North,9,7452,1212.51,United States,Saint Petersburg,Florida,South
7/21/2023,Mouse,Accessories,East,4,4128,1156.71,United States,Arlington,Virginia,South
7/21/2022,Tablet,Electronics,West,5,5090,1201.56,United States,Des Moines,Iowa,Central
9/1/2022,Camera,Electronics,North,5,4930,387.33,United States,San Francisco,California,West
4/20/2023,Smartwatch,Electronics,South,6,2610,434.37,United States,Columbus,Ohio,East
12/11/2023,Laptop,Electronics,North,3,2139,415.84,United States,Lancaster,California,West
9/29/2024,Tablet,Electronics,South,1,226,55.4,United States,Richmond,Virginia,South
11/20/2023,Smartwatch,Electronics,West,2,2244,212.08,United States,Lake Elsinore,California,West
7/15/2023,Monitor,Accessories,East,6,3150,578.87,United States,San Diego,California,West
12/24/2023,Laptop,Electronics,South,7,3388,347.19,United States,San Francisco,California,West
8/13/2023,Laptop,Electronics,East,8,8736,580.31,United States,Omaha,Nebraska,Central
4/24/2022,Smartphone,Electronics,South,2,1102,176.53,United States,Edmonds,Washington,West
7/13/2024,Monitor,Accessories,East,3,2640,199.97,United States,Santa Ana,California,West
6/11/2022,Printer,Office,West,3,2547,300.74,United States,Philadelphia,Pennsylvania,East
10/28/2024,Laptop,Electronics,North,7,728,64.82,United States,Florence,Kentucky,South
11/24/2022,Camera,Electronics,South,7,3444,607.44,United States,New York City,New York,East
10/3/2024,Camera,Electronics,West,5,3140,853.66,United States,Louisville,Kentucky,South
3/24/2024,Smartphone,Electronics,East,3,435,129.27,United States,Lorain,Ohio,East
6/28/2024,Keyboard,Accessories,East,4,856,72.99,United States,New York City,New York,East
5/31/2022,Printer,Office,North,2,112,23.33,United States,Springfield,Virginia,South
3/25/2024,Headphones,Accessories,North,3,2247,507.79,United States,Concord,New Hampshire,East
1/31/2023,Keyboard,Accessories,West,2,1512,298.73,United States,New York City,New York,East
6/23/2024,Mouse,Accessories,South,5,4915,1196.6,United States,Detroit,Michigan,Central
8/16/2023,Mouse,Accessories,South,3,2709,663.54,United States,Rochester,New York,East
6/10/2023,Tablet,Electronics,North,7,1239,118.36,United States,New York City,New York,East
5/9/2023,Tablet,Electronics,West,2,572,86.16,United States,Norwich,Connecticut,East
5/8/2022,Smartwatch,Electronics,North,2,1708,93.25,United States,Milwaukee,Wisconsin,Central
11/6/2024,Smartwatch,Electronics,North,4,360,42.66,United States,San Antonio,Texas,Central
12/8/2022,Camera,Electronics,North,6,3822,388.34,United States,San Antonio,Texas,Central
9/25/2022,Camera,Electronics,North,6,4680,932.97,United States,Torrance,California,West
7/10/2024,Camera,Electronics,North,5,2520,487.18,United States,Mesa,Arizona,West
3/29/2024,Smartwatch,Electronics,North,2,2138,619.29,United States,Philadelphia,Pennsylvania,East
1/11/2022,Keyboard,Accessories,West,3,2529,169.6,United States,Philadelphia,Pennsylvania,East
4/8/2022,Keyboard,Accessories,East,1,236,29.33,United States,Philadelphia,Pennsylvania,East
1/21/2024,Tablet,Electronics,West,6,2730,636.48,United States,Philadelphia,Pennsylvania,East
4/27/2023,Headphones,Accessories,North,3,3021,872.49,United States,Round Rock,Texas,Central
11/6/2024,Smartwatch,Electronics,North,2,244,16.78,United States,Oceanside,California,West
5/11/2022,Camera,Electronics,South,8,728,120.06,United States,San Francisco,California,West
10/2/2022,Mouse,Accessories,North,3,453,89.49,United States,Philadelphia,Pennsylvania,East
1/12/2022,Laptop,Electronics,South,1,379,84.38,United States,New York City,New York,East
1/9/2023,Tablet,Electronics,West,3,2130,510.69,United States,Louisville,Colorado,West
5/4/2023,Monitor,Accessories,North,8,4120,710.11,United States,Auburn,New York,East
9/7/2024,Smartwatch,Electronics,South,7,3150,299.7,United States,Jacksonville,Florida,South
5/17/2022,Smartwatch,Electronics,East,7,2688,603.07,United States,Henderson,Kentucky,South
8/17/2023,Tablet,Electronics,East,2,1752,501.19,United States,Henderson,Kentucky,South
9/7/2023,Keyboard,Accessories,North,7,7308,948.4,United States,New York City,New York,East
5/11/2022,Tablet,Electronics,North,3,2007,160.84,United States,San Diego,California,West
5/12/2023,Tablet,Electronics,West,7,7224,479.23,United States,Olympia,Washington,West
5/8/2023,Monitor,Accessories,South,9,6939,1249.31,United States,Seattle,Washington,West
2/18/2023,Smartphone,Electronics,East,7,5516,1475.67,United States,New York City,New York,East
1/29/2022,Printer,Office,South,2,2224,116.47,United States,New York City,New York,East
1/12/2023,Laptop,Electronics,South,5,3985,824.4,United States,Washington,District of Columbia,East
1/3/2022,Camera,Electronics,North,7,2723,638.26,United States,Hackensack,New Jersey,East
10/20/2022,Tablet,Electronics,North,2,746,170.75,United States,Hackensack,New Jersey,East
8/21/2024,Laptop,Electronics,West,5,3170,245.25,United States,Jefferson City,Missouri,Central
12/11/2023,Smartwatch,Electronics,East,5,550,63.11,United States,Saint Peters,Missouri,Central
8/14/2022,Tablet,Electronics,North,8,480,132.45,United States,New York City,New York,East
6/3/2024,Printer,Office,East,4,3284,354.4,United States,Rockford,Illinois,Central
1/23/2024,Smartwatch,Electronics,South,2,1748,183.75,United States,Miami,Florida,South
11/20/2023,Headphones,Accessories,North,8,824,240.84,United States,Philadelphia,Pennsylvania,East
3/3/2022,Headphones,Accessories,North,4,1872,448.46,United States,Philadelphia,Pennsylvania,East
2/20/2024,Tablet,Electronics,West,3,627,103.98,United States,New York City,New York,East
8/9/2024,Camera,Electronics,East,9,5661,1104.02,United States,Houston,Texas,Central
6/19/2022,Camera,Electronics,North,3,2910,765.47,United States,San Francisco,California,West
9/1/2024,Tablet,Electronics,South,9,9036,1087.46,United States,Detroit,Michigan,Central
8/30/2024,Tablet,Electronics,West,5,4815,338.31,United States,Yonkers,New York,East
8/12/2022,Mouse,Accessories,South,1,1187,206.28,United States,Monroe,North Carolina,South
8/4/2022,Headphones,Accessories,East,3,3339,732.92,United States,Los Angeles,California,West
2/20/2024,Tablet,Electronics,East,1,620,165.43,United States,San Francisco,California,West
2/26/2023,Camera,Electronics,West,5,2025,414.42,United States,Houston,Texas,Central
11/20/2024,Printer,Office,East,5,3030,811.92,United States,Encinitas,California,West
8/12/2023,Smartwatch,Electronics,North,5,655,166.69,United States,Jonesboro,Arkansas,South
1/17/2022,Printer,Office,West,2,2238,294.54,United States,Jonesboro,Arkansas,South
4/12/2023,Smartphone,Electronics,South,8,3312,811.31,United States,Springfield,Virginia,South
7/26/2023,Printer,Office,East,9,9387,1271.64,United States,Los Angeles,California,West
1/1/2024,Mouse,Accessories,West,6,5790,1285.21,United States,Cuyahoga Falls,Ohio,East
12/6/2023,Laptop,Electronics,South,6,2700,527.97,United States,Harrisonburg,Virginia,South
12/5/2023,Smartwatch,Electronics,East,8,2072,555.06,United States,Harrisonburg,Virginia,South
10/27/2024,Keyboard,Accessories,North,3,2991,716.54,United States,Los Angeles,California,West
8/4/2024,Laptop,Electronics,East,6,5568,958.59,United States,New York City,New York,East
2/1/2023,Smartwatch,Electronics,North,7,5509,1648.74,United States,Rockville,Maryland,East
6/2/2024,Printer,Office,West,7,5922,1323.1,United States,Los Angeles,California,West
4/28/2024,Smartphone,Electronics,South,4,4380,362.81,United States,Coral Springs,Florida,South
3/25/2022,Tablet,Electronics,South,5,1760,272.68,United States,Coral Springs,Florida,South
10/5/2024,Headphones,Accessories,North,9,5571,1523.81,United States,Houston,Texas,Central
12/19/2024,Tablet,Electronics,South,2,1082,182.1,United States,Denver,Colorado,West
7/18/2022,Camera,Electronics,East,1,569,138.11,United States,Denver,Colorado,West
6/11/2023,Mouse,Accessories,North,8,3416,697.42,United States,New York City,New York,East
10/13/2024,Printer,Office,West,1,570,57.07,United States,Philadelphia,Pennsylvania,East
8/7/2023,Monitor,Accessories,East,6,3300,386.92,United States,Philadelphia,Pennsylvania,East
12/4/2022,Laptop,Electronics,South,8,2584,568.77,United States,New York City,New York,East
2/18/2024,Monitor,Accessories,South,9,7650,2204.44,United States,Los Angeles,California,West
12/5/2024,Headphones,Accessories,West,8,3600,272.51,United States,Boynton Beach,Florida,South
12/15/2023,Monitor,Accessories,West,6,846,190.87,United States,Boynton Beach,Florida,South
8/12/2023,Smartphone,Electronics,West,1,51,9.36,United States,Boynton Beach,Florida,South
5/20/2024,Smartwatch,Electronics,South,6,7056,586.91,United States,Seattle,Washington,West
6/5/2024,Smartwatch,Electronics,West,2,384,38.41,United States,Fresno,California,West
1/9/2022,Laptop,Electronics,South,8,2928,663.54,United States,Fresno,California,West
12/17/2023,Camera,Electronics,West,7,1904,352.86,United States,Fresno,California,West
9/8/2022,Tablet,Electronics,East,2,2314,312.07,United States,New York City,New York,East
1/22/2022,Printer,Office,South,4,1028,192.13,United States,Chester,Pennsylvania,East
9/4/2024,Headphones,Accessories,South,9,8307,1326.23,United States,Chester,Pennsylvania,East
1/20/2024,Printer,Office,West,9,1539,203.54,United States,La Porte,Indiana,Central
11/3/2022,Tablet,Electronics,West,7,2506,537.98,United States,Los Angeles,California,West
7/3/2023,Smartphone,Electronics,West,6,5778,1232.54,United States,Louisville,Colorado,West
1/25/2024,Tablet,Electronics,East,9,10188,2165.78,United States,Fort Worth,Texas,Central
5/11/2024,Monitor,Accessories,North,1,952,157.7,United States,New York City,New York,East
1/2/2024,Smartwatch,Electronics,West,8,3624,750.86,United States,Springfield,Virginia,South
2/24/2023,Keyboard,Accessories,South,8,7968,1551.12,United States,Springfield,Virginia,South
7/20/2024,Mouse,Accessories,South,2,1254,250.09,United States,Arlington,Virginia,South
6/14/2023,Printer,Office,West,3,705,196.05,United States,Columbus,Georgia,South
4/10/2022,Mouse,Accessories,West,1,916,223.5,United States,Pasadena,California,West
10/1/2024,Printer,Office,North,2,848,129.96,United States,Columbus,Ohio,East
5/10/2022,Monitor,Accessories,East,8,2240,313.17,United States,Los Angeles,California,West
1/28/2022,Monitor,Accessories,South,1,940,120.35,United States,Philadelphia,Pennsylvania,East
4/5/2023,Headphones,Accessories,West,5,1550,203.51,United States,San Francisco,California,West
9/22/2023,Keyboard,Accessories,South,7,2352,256.4,United States,Los Angeles,California,West
8/29/2024,Smartwatch,Electronics,North,9,1638,183.75,United States,New York City,New York,East
11/18/2023,Camera,Electronics,North,6,7164,1442.72,United States,Evanston,Illinois,Central
9/12/2023,Mouse,Accessories,East,1,205,54.54,United States,San Francisco,California,West
5/26/2023,Keyboard,Accessories,North,2,766,49.23,United States,Fort Worth,Texas,Central
4/30/2023,Keyboard,Accessories,North,1,168,17.84,United States,Los Angeles,California,West
11/1/2024,Mouse,Accessories,South,1,1058,207.55,United States,Tucson,Arizona,West
5/6/2022,Keyboard,Accessories,South,5,1455,423.81,United States,Pico Rivera,California,West
5/10/2023,Camera,Electronics,East,2,2224,364.04,United States,Colorado Springs,Colorado,West
11/4/2022,Smartphone,Electronics,West,7,1400,80.49,United States,Provo,Utah,West
5/9/2022,Smartphone,Electronics,East,7,7567,2213.18,United States,Aurora,Illinois,Central
11/7/2022,Tablet,Electronics,East,6,3396,987.68,United States,Smyrna,Georgia,South
8/11/2023,Smartwatch,Electronics,East,2,704,135.63,United States,Smyrna,Georgia,South
10/21/2024,Tablet,Electronics,East,9,7767,2172.19,United States,Aurora,Illinois,Central
10/6/2024,Mouse,Accessories,West,5,2050,157.13,United States,Aurora,Illinois,Central
8/8/2023,Monitor,Accessories,North,9,10458,2799.48,United States,Columbus,Ohio,East
1/19/2022,Camera,Electronics,South,4,4700,619.26,United States,Philadelphia,Pennsylvania,East
4/30/2024,Smartphone,Electronics,North,2,892,222.51,United States,New York City,New York,East
12/26/2023,Laptop,Electronics,East,8,6968,1479.09,United States,Phoenix,Arizona,West
4/7/2024,Laptop,Electronics,North,7,1344,300.88,United States,New York City,New York,East
10/18/2022,Camera,Electronics,West,1,354,65.99,United States,New York City,New York,East
4/21/2024,Monitor,Accessories,South,3,3051,662.23,United States,Costa Mesa,California,West
3/26/2024,Camera,Electronics,South,3,402,106.87,United States,Houston,Texas,Central
10/31/2022,Monitor,Accessories,North,5,3570,517.82,United States,Florence,Alabama,South
3/3/2023,Keyboard,Accessories,North,7,3829,876.35,United States,Amarillo,Texas,Central
2/3/2023,Mouse,Accessories,North,7,4676,242.64,United States,Chicago,Illinois,Central
4/15/2023,Keyboard,Accessories,East,3,1119,317.36,United States,Columbus,Georgia,South
5/9/2023,Smartphone,Electronics,East,4,4228,764.3,United States,Middletown,Connecticut,East
1/2/2022,Headphones,Accessories,North,8,1240,251.2,United States,Vineland,New Jersey,East
11/28/2024,Keyboard,Accessories,North,9,3591,342.18,United States,Pasadena,Texas,Central
2/5/2022,Printer,Office,West,8,3952,451.08,United States,Glendale,Arizona,West
6/5/2024,Keyboard,Accessories,South,6,3648,1050.08,United States,Detroit,Michigan,Central
11/15/2024,Monitor,Accessories,North,5,3875,768.74,United States,Houston,Texas,Central
11/13/2023,Smartwatch,Electronics,West,8,3416,478.9,United States,Los Angeles,California,West
2/19/2022,Tablet,Electronics,West,1,908,222.58,United States,New York City,New York,East
5/6/2024,Headphones,Accessories,South,4,4532,987.32,United States,Vancouver,Washington,West
8/4/2023,Headphones,Accessories,East,4,4168,650.15,United States,Los Angeles,California,West
9/23/2023,Laptop,Electronics,North,3,3543,941.37,United States,Los Angeles,California,West
9/14/2024,Laptop,Electronics,East,6,5124,1078.57,United States,Los Angeles,California,West
3/17/2023,Smartwatch,Electronics,South,9,5751,1196.23,United States,Philadelphia,Pennsylvania,East
9/29/2023,Camera,Electronics,East,2,624,139.64,United States,North Las Vegas,Nevada,West
12/1/2023,Camera,Electronics,South,1,508,151.29,United States,Tucson,Arizona,West
9/13/2023,Headphones,Accessories,South,4,4700,914.6,United States,Allentown,Pennsylvania,East
3/14/2022,Keyboard,Accessories,West,8,3216,639.78,United States,Laguna Niguel,California,West
7/15/2023,Laptop,Electronics,West,6,2844,581,United States,Everett,Massachusetts,East
